BoxID,SongID,recorded_on,released_on,old_or_new,created_with,language,genre,purpose,status,smasterpiece,article_title,song_title,video_song,artist,original_song,wma_url,song_url,MP3_name,critics_review,diary_text,poster_url,TrackNumber,RadioID,RadioName,soffset,snxtoffset,sduration,stars,real_url,karaoke_url,version_of_song,hide_if_not_on_radio
,1871,July 2025,,NEW,4,Spanish,Salsa,,0,True,Llorar&#225;s (con Latincita),Llorar&#225;s,,Oscar D&lt;QUOTE&gt;L&#233;on,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,4,528,Los Elegantes Caribe&#241;os - Kwaku 2025,411,624,213,0,,,Live,0
,1876,July 2025,,NEW,4,Spanish,,,0,True,Oye&lt;COMMA&gt; Abre Tus Ojos (con Latincita),Oye&lt;COMMA&gt; Abre Tus Ojos,,Wilfrido Vargas,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,9,528,Los Elegantes Caribe&#241;os - Kwaku 2025,1522,1779,257,0,,,Live,0
,1878,July 2025,,NEW,4,Spanish,Salsa,,0,True,Rebeli&#243;n (con Latincita),Rebeli&#243;n,,Joe Arroyo,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,11,528,Los Elegantes Caribe&#241;os - Kwaku 2025,1807,2125,318,0,,,Live,0
,1870,July 2025,,NEW,4,Spanish,Salsa,,0,False,Quimbara (con Alina),Quimbara,,Celia Cruz,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,3,528,Los Elegantes Caribe&#241;os - Kwaku 2025,110,411,301,0,,,Live,0
,1872,July 2025,,NEW,4,Spanish,Salsa,,0,False,Qu&#237;tate T&#250;,Qu&#237;tate T&#250;,,Fania All-Stars,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,5,528,Los Elegantes Caribe&#241;os - Kwaku 2025,624,1059,435,0,,,Live,0
,1874,July 2025,,NEW,4,Spanish,Merengue,,0,False,El Reto (con Alina),El Reto,,Albita,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,7,528,Los Elegantes Caribe&#241;os - Kwaku 2025,1075,1400,325,0,,,Live,0
,1875,July 2025,,NEW,4,Spanish,Salsa,,0,False,Flor P&#225;lida (con Vanessa),Flor P&#225;lida,,Marc Anthony,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,8,528,Los Elegantes Caribe&#241;os - Kwaku 2025,1400,1522,122,0,,,Live,0
,1879,July 2025,,NEW,4,Spanish,Salsa,,0,False,C&#250;cala (con Alina),C&#250;cala,,Fania All-Stars,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,12,528,Los Elegantes Caribe&#241;os - Kwaku 2025,2125,2139,14,0,,,Live,0
,1880,July 2025,,NEW,4,Spanish,Guajira,,0,False,Yerberito Moderno (con Alina),Yerberito Moderno,,Celia Cruz,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,13,528,Los Elegantes Caribe&#241;os - Kwaku 2025,2139,2397,258,0,,,Live,0
,1881,July 2025,,NEW,4,Spanish,Salsa,,0,False,Vivir mi Vida (con Vanessa),Vivir mi Vida,,Marc Anthony,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,14,528,Los Elegantes Caribe&#241;os - Kwaku 2025,2397,2663,266,0,,,Live,0
,1882,July 2025,,NEW,4,Spanish,Salsa,,0,False,Bemba Color&#225; (con Alina),Bemba Color&#225;,,Celia Cruz,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,15,528,Los Elegantes Caribe&#241;os - Kwaku 2025,2663,3133,470,0,,,Live,0
,1883,July 2025,,NEW,4,Spanish,Salsa,,0,False,C&#250;cala (con Alina),C&#250;cala,,Fania All-Stars,,,~/best_of_latincita/Kwaku%20-%20Jul%202025%20-%20Camera%20Audio.mp3,,,,~/Images/Mobile/Kwaku%20-%20July%202025%20-%20Coreo-P.jpg,16,528,Los Elegantes Caribe&#241;os - Kwaku 2025,3133,3478,345,0,,,Live,0
,1850,July 2025,,NEW,4,Spanish,Salsa,,0,True,Llorar&#225;s (con Latincita),Llorar&#225;s,,Oscar D&lt;QUOTE&gt;L&#233;on,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,4,527,Los Elegantes Caribe&#241;os - Almere Haven,785,1009,224,0,,,Live,0
,1855,July 2025,,NEW,4,Spanish,Salsa,,0,True,Rebeli&#243;n (con Latincita),Rebeli&#243;n,,Joe Arroyo,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,9,527,Los Elegantes Caribe&#241;os - Almere Haven,1944,2252,308,0,,,Live,0
,1859,July 2025,,NEW,4,Spanish,,,0,True,Oye&lt;COMMA&gt; Abre Tus Ojos (con Latincita),Oye&lt;COMMA&gt; Abre Tus Ojos,,Wilfrido Vargas,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,13,527,Los Elegantes Caribe&#241;os - Almere Haven,2740,2992,252,0,,,Live,0
,1862,July 2025,,NEW,4,Spanish,Merengue,,0,True,Nadie se Muere (con Latincita),Nadie se Muere,,La Makina,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,16,527,Los Elegantes Caribe&#241;os - Almere Haven,3648,3877,229,0,,,Live,0
,1847,July 2025,,NEW,4,Spanish,Salsa,,0,False,La vida es un Carnaval (con Alina),La vida es un Carnaval,,Celia Cruz,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,1,527,Los Elegantes Caribe&#241;os - Almere Haven,1,258,257,0,,,Live,0
,1848,July 2025,,NEW,4,Spanish,Salsa,,0,False,Quimbara (con Alina),Quimbara,,Celia Cruz,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,2,527,Los Elegantes Caribe&#241;os - Almere Haven,258,590,332,0,,,Live,0
,1849,July 2025,,NEW,4,Spanish,Salsa,,0,False,Por Eso Yo Soy Cubana (con Alina),Por Eso Yo Soy Cubana,,Buena Vista Social Club,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,3,527,Los Elegantes Caribe&#241;os - Almere Haven,590,785,195,0,,,Live,0
,1851,July 2025,,NEW,4,Spanish,Salsa,,0,False,Qu&#237;tate T&#250;,Qu&#237;tate T&#250;,,Fania All-Stars,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,5,527,Los Elegantes Caribe&#241;os - Almere Haven,1009,1385,376,0,,,Live,0
,1852,July 2025,,NEW,4,Spanish,Merengue,,0,False,El Reto (con Alina),El Reto,,Albita,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,6,527,Los Elegantes Caribe&#241;os - Almere Haven,1385,1666,281,0,,,Live,0
,1853,July 2025,,NEW,4,Spanish,Salsa,,0,False,Flor P&#225;lida (con Vanessa),Flor P&#225;lida,,Marc Anthony,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,7,527,Los Elegantes Caribe&#241;os - Almere Haven,1666,1924,258,0,,,Live,0
,1856,July 2025,,NEW,4,Spanish,Guajira,,0,False,Yerberito Moderno (con Alina),Yerberito Moderno,,Celia Cruz,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,10,527,Los Elegantes Caribe&#241;os - Almere Haven,2252,2500,248,0,,,Live,0
,1858,July 2025,,NEW,4,Spanish,Bachata,,0,False,Tell me Why (con Ruben),Tell Me Why,,Aventura,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,12,527,Los Elegantes Caribe&#241;os - Almere Haven,2519,2740,221,0,,,Live,0
,1860,July 2025,,NEW,4,Spanish,Salsa,,0,False,Vivir mi Vida (con Vanessa),Vivir mi Vida,,Marc Anthony,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,14,527,Los Elegantes Caribe&#241;os - Almere Haven,2992,3244,252,0,,,Live,0
,1861,July 2025,,NEW,4,Spanish,Salsa,,0,False,Bemba Color&#225; (con Alina),Bemba Color&#225;,,Celia Cruz,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,15,527,Los Elegantes Caribe&#241;os - Almere Haven,3244,3648,404,0,,,Live,0
,1864,July 2025,,NEW,4,Spanish,Salsa,,0,False,El cuarto de Tula (con Alina),El cuarto de Tula,,Buena Vista Social Club,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,18,527,Los Elegantes Caribe&#241;os - Almere Haven,3890,4180,290,0,,,Live,0
,1865,July 2025,,NEW,4,Spanish,Salsa,,0,False,El Negrito Del Batey (con Alina),El Negrito Del Batey,,Alberto Beltran,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,19,527,Los Elegantes Caribe&#241;os - Almere Haven,4180,4341,161,0,,,Live,0
,1867,July 2025,,NEW,4,Spanish,Salsa,,0,False,C&#250;cala (con Alina),C&#250;cala,,Fania All-Stars,,,~/best_of_latincita/Almere%20Haven%20-%20July%202025%20-%205%20STAR.mp3,,,,~/Images/Mobile/Almere%20Haven%20-%20July%202025%20-%20Dance%20Public-P.jpg,21,527,Los Elegantes Caribe&#241;os - Almere Haven,4429,-1,7200,0,,,Live,0
,1824,July 2025,,NEW,4,Spanish,Merengue,,0,True,Nadie se Muere (con Latincita),Nadie se Muere,,La Makina,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,4,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,527,726,199,0,,,Live,0
,1827,July 2025,,NEW,4,Spanish,Salsa,,0,True,Rebeli&#243;n (con Latincita),Rebeli&#243;n,,Joe Arroyo,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,7,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,1243,1560,317,0,,,Live,0
,1828,July 2025,,NEW,4,Spanish,,,0,True,Oye&lt;COMMA&gt; Abre Tus Ojos (con Latincita),Oye&lt;COMMA&gt; Abre Tus Ojos,,Wilfrido Vargas,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,8,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,1560,1825,265,0,,,Live,0
,1836,July 2025,,NEW,4,Spanish,Merengue,,0,True,Abusadora (con Latincita),Abusadora,,Wilfrido Vargas,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,16,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,3749,3985,236,0,,,Live,0
,1842,July 2025,,NEW,4,Spanish,Salsa,,0,True,Llorar&#225;s (con Latincita),Llorar&#225;s,,Oscar D&lt;QUOTE&gt;L&#233;on,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,22,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,5273,5489,216,0,,,Live,0
,1821,July 2025,,NEW,4,Spanish,Salsa,,0,False,Quimbara (con Alina),Quimbara,,Celia Cruz,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,1,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,4,213,209,0,,,Live,0
,1822,July 2025,,NEW,4,Spanish,Salsa,,0,False,Idilio (con Alina),Idilio,,Willie Col&#243;n,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,2,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,213,510,297,0,,,Live,0
,1825,July 2025,,NEW,4,Spanish,Guajira,,0,False,Yerberito Moderno (con Alina),Yerberito Moderno,,Celia Cruz,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,5,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,726,981,255,0,,,Live,0
,1826,July 2025,,NEW,4,Spanish,Zouk,,0,False,Ole Ole Ohlala (con Ruben),Ole Ole Ohlala,,??,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,6,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,981,1243,262,0,,,Live,0
,1829,July 2025,,NEW,4,Spanish,Bachata,,0,False,Stand by Me (con Vanessa),Stand by Me,,Ben E. King,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,9,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,1825,2033,208,0,,,Live,0
,1830,July 2025,,NEW,4,Spanish,Salsa,,0,False,Qu&#237;tate T&#250;,Qu&#237;tate T&#250;,,Fania All-Stars,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,10,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,2033,2460,427,0,,,Live,0
,1831,July 2025,,NEW,4,Spanish,Salsa,,0,False,El cuarto de Tula (con Alina),El cuarto de Tula,,Buena Vista Social Club,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,11,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,2460,2714,254,0,,,Live,0
,1832,July 2025,,NEW,4,Spanish,Salsa,,0,False,Vivir mi Vida (con Vanessa),Vivir mi Vida,,Marc Anthony,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,12,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,2714,2982,268,0,,,Live,0
,1833,July 2025,,NEW,4,Spanish,Merengue,,0,False,El Reto (con Alina),El Reto,,Albita,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,13,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,2982,3264,282,0,,,Live,0
,1834,July 2025,,NEW,4,Spanish,Salsa,,0,False,Por Eso Yo Soy Cubana (con Alina),Por Eso Yo Soy Cubana,,Buena Vista Social Club,,,~/best_of_latincita/Vlaardingen%20Strand%20-%20July%202025.mp3,,,,~/Images/Mobile/Vlaardingen%20Strand%20-%20July%202025%20-%20Audio-P.jpg,14,526,Los Elegantes Caribe&#241;os - Vlaardingen Strand,3264,3468,204,0,,,Live,0
